abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,livingArea,description,dateSold,daysOnZillow,price,lastSoldPrice,yearSold
19309 NE Glisan St,Portland,97230,1.0,3.0,1217.0,N/A,2021-06-03 22:40:00,11.0,348000,348000,2021
19830 SE Pine St,Portland,97233,2.0,3.0,1248.0,"Beautifully updated SE Portland Ranch! Light & bright with 3 beds, 2 baths, 1,248 SQFT, & move-in ready! Gorgeous refinished hardwoods, new fixtures, newer water heater, cozy living room, a large 20 x 13 family room with fireplace. 2 car garage, covered porch and patio, & a large fenced backyard with a tool shed. This home has so much to offer and a must see!",2021-03-31 00:20:00,76.0,380000,380000,2021
18851 NE Davis St,Portland,97230,1.0,3.0,1328.0,"Don't miss this opportunity! This adorable ranch home is well cared for with personal touches throughout. You will love the flooring including the hardwood floors in the living room, bedrooms & hallway. The kitchen boasts granite counters & tile floor. The living room has a cozy wood fireplace & there is a separate family room with a slider to the newer deck (1 yr) which extends your living space outside. Newer large shed and fully fenced front and backyards complete this perfect starter home.",2021-02-26 00:40:00,109.0,387000,387000,2021
16621 NE Halsey St,Portland,97230,2.0,2.0,990.0,"16621 NE Halsey St, Portland, OR 97230 is a townhome home that contains 990 sq ft and was built in 1981. It contains 2 bedrooms and 2 bathrooms. This home last sold for $205,000 in February 2021. 
 
The Zestimate for this house is $270,923. The Rent Zestimate for this home is $1,595/mo.",2021-02-26 00:40:00,109.0,205000,205000,2021
18540 SE Yamhill Cir,Portland,97233,1.0,3.0,946.0,"ATTENTION first time home buyers!!!  Don't miss out on this beautifully remodeled ranch in immaculate condition.  A touchless kitchen faucet and a humidity-controlled bathroom fan are just a couple of the added touches to this beauty...  Give us a call today, won't last long!!",2021-04-01 23:33:20,74.0,370000,370000,2021
1509 SE 179th Ave,Portland,97233,1.0,3.0,864.0,"Great starter home with gleaming hardwood floors, a completely remodeled kitchen and bathroom and a new roof. All appliances included (also washer and dryer). Large fenced back yard with covered patio. Slider from dining room to back yard. Listing agent is seller.",2021-03-31 00:20:00,76.0,318000,318000,2021
18530 SE Yamhill St,Portland,97233,1.0,3.0,946.0,"Beautifully updated one level surrounded by trees with a large flat lot.  Newer Roof, Furnace, A/C, Windows and more in the Rockwood neighborhood. Offer Deadline Sunday 2/28 5:00 PM. Multiple Offers Received. Offers will be presented as received and reviewed 3/1.",2021-03-31 00:20:00,76.0,360000,360000,2021
1522 NE 176th Ave,Portland,97230,2.1,3.0,1509.0,"Well kept townhouse in a very convenient location. Minutes from great shopping and freeway access. Great room plan with high ceilings, vaulted master suite with walk-in closet. Forced air heating and air conditioning. Gas fireplace with mantle, All kitchen appliances including W&D stay. Fenced back yard with sprinkler system. This is a short sale.",2021-03-26 00:53:20,81.0,315000,315000,2021
18622 SE Stephens Cir,Portland,97233,2.0,3.0,1280.0,"18622 SE Stephens Cir, Portland, OR 97233 is a single family home that contains 1,280 sq ft and was built in 1980. It contains 3 bedrooms and 2 bathrooms. This home last sold for $225,500 in March 2021. 
 
The Zestimate for this house is $232,117. The Rent Zestimate for this home is $1,950/mo.",2021-03-24 23:53:20,82.0,225500,225500,2021
18241 NE Flanders St,Portland,97230,2.0,3.0,1500.0,"For sale by owner 1500 sq ft, beautiful updated 3 bedroom 2 bath With space to park your Rv, wood stove, deck and hot tub, new kitchen cabinets, extreme performance waterproof flooring.. 
A 30\35 double car garage/shop. asking 410,000",2021-03-23 22:53:20,83.0,383000,383000,2021
805 NE 190th Ave,Portland,97230,1.0,3.0,912.0,"NEWER EVERYTHING! Furnace (2017), New roof and gutters(2016), New plumbing in house and under (2016), Newer water heater, vinyl windows, slider, and central air! Brand new 20X18 (2018)covered deck and new 12x9 shed on concrete pad. Fenced backyard with gates. RV parking. Updated kitchen including new appliances and updated bath.  Get ready to spread out on this turn of the corner lot with ROOM to GROW!",2021-03-23 22:53:20,83.0,362000,362000,2021
18035 SE Main St,Portland,97233,1.0,3.0,1380.0,"This fixer is waiting for your finishing touches! Bring your tools & creativity. Ranch style home has open layout, gas fireplace, double pane vinyl windows, spacious fenced yard, patio, tool shed & RV parking. Needs a new roof, furnace, AC & all the cosmetics. Cash only, not available for financing. Seller will do no repairs, sold ""as-is."" Buyer to do due diligence. Great investor opportunity!",2021-03-23 22:53:20,83.0,292600,292600,2021
138 NE 192nd Ave,Portland,97230,2.0,3.0,1420.0,"Refreshed and ready to move in! Unbeatable quiet and private location provides easy access to freeways, shopping, eateries. This light filled 3bed 2bath home offers a spacious open layout, large living room updated kitchen, fresh indoor paint, an abundance of storage. Large back yard w/covered patio provides an incredible space for entertaining and relaxation. 2 car garage, RV parking. Room for ADU. Won't last long!",2021-03-18 23:26:40,88.0,365000,365000,2021
19319 NE Couch St,Portland,97230,1.0,4.0,1386.0,"New Flooring, paint in and out, new roof, new range, new kitchen sink, fully remodeled bathroom, oversized two car garage with bonus room off garage.     Storage shed in back yard.  Family room with slider to covered patio.  Large fenced yard.   Great location near parks, schools, shopping and easy freeway access.",2021-03-18 23:26:40,88.0,386000,386000,2021
2535 NE 164th Ave,Portland,97230,2.0,3.0,2086.0,"Fabulous + Fresh! Remodeled 1 story ranch on a quiet cul-du-sac.  3 bedrooms / 2 bath with fabulous en-suite bedroom, great flow including a gorgeous vaulted family room, fantastic backyard, oversized garage and brand new kitchen! New paint and carpet round out this gem. Imagine yourself dining al fresco on the deck during warm summer evenings, with the laughter of family + dogs echoing through the trees. Don't miss this home....it really is quite lovely!",2021-03-18 23:26:40,88.0,525000,525000,2021
808 NE 192nd Ave,Portland,97230,1.0,3.0,960.0,"Cozy, ranch style home with real hardwood floors, brick fireplace, attached garage, and fenced backyard.  Updated vinyl windows and a 200 amp electrical panel.  Best priced home in the area!",2021-03-18 23:26:40,88.0,320000,320000,2021
1222 NE 192nd Ave,Portland,97230,2.0,4.0,2016.0,"Spacious split level home central a/c, hardwood flooring,  large utility room, granite counter tops in kitchen, large back yard, Front and rear sprinkler system, and  easy access to freeways.",2021-03-12 00:46:40,95.0,415000,415000,2021
1409 SE 180th Way,Portland,97233,3.0,4.0,1504.0,"Great house in the heart of Gresham on corner oversized  lot in a quiet established neighborhood. Plenty of upgrades! New modern laminate floors throughout the house and heated tile floors.New roof was placed in 2017, fresh interior and exterior paint. SS kitchen appliances, cozy gas fire place Private and large fenced backyard with tool shed, fruit trees, huge covered deck, fire pit area, outdoor kitchen and spacious garden! Conveniently located to shopping, freeway, public transportation.",2021-03-12 00:46:40,95.0,420000,420000,2021
1042 SE 191st Ave,Portland,97233,1.0,2.0,880.0,"Incredible attached home that lives like a single-family with its own private yard, off-street parking and NO HOA.  Updates include fresh interior paint, stainless steel appliances, new white shaker kitchen cabinets, quartz countertops and more.  The home boasts an open floor plan that is great for families and entertaining.",2021-03-10 23:46:40,96.0,250000,250000,2021
640 NE 199th Ave,Portland,97230,2.0,4.0,2337.0,"Open Sat. 1/23/21 from 1-3 pm. Well maintained mid-century home offers space to spread out. Featuring up to 6 bedrooms (2 may not be conforming), 2 baths, 2 spacious living spaces, 2 cozy wood fireplaces and a large backyard. Shed in backyard is wired and ready for power to be run, could be used as a studio or great space for projects. Lots of updates, including newer roof, newer furnace, newer appliances, refinished hard woods, and so much more. 2nd owners, updated with original charm.",2021-03-09 22:46:40,97.0,416900,416900,2021
18042 SE Clay St,Portland,97233,3.0,4.0,2431.0,"Great one level living with bonus basement area. 4 bed, 3 bath, new roof in 2019. Updated kitchen with granite & breakfast bar. Hardwood floors, family, living & dining areas. The relaxing floorplan allows for separate gathering areas. 4th bedroom is now an office. Relaxing back deck that overlooks huge fenced backyard perfect for gardening/ entertaining or activities. 2 car garage. Neighborhood parks & shopping. Call today for an appointment.",2021-03-09 22:46:40,97.0,438000,438000,2021
16373 NE Thompson St,Portland,97230,4.0,5.0,3500.0,"Beautiful one owner custom home full of thoughtful touches! As you walk in, you are greeted with a warm living room adjoined by a formal dining room perfect for entertaining! The kitchen is open, connected to the family room with access to the large back yard. The master with bath is on the main along with 3 spacious bedrooms. Upstairs you will find a private remodeled bathroom,bedroom & bonus room giving you a wonderful second living space perfect for guests large families. Lots of storage too.",2021-03-09 00:33:20,98.0,595000,595000,2021
1335 SE 175th Pl,Portland,97233,1.0,3.0,1200.0,"OPEN HOUSE CANCELLED. Very well taken care of property in SE Portland in a quiet neighborhood right across from Rockwood Central Park. You will love the HUGE, fully permitted, 33'x24' shop w/ a bay door and electricity in the back. Enjoy hardwoods throughout, along with a newer roof, newer exterior paint, & a converted garage which could easily be made back into a working garage. Includes a large fully fenced yard w/ a small second shed. Put the finishing touches on this home & make it your own!",2021-03-04 23:20:00,102.0,353700,353700,2021
16521 NE San Rafael Dr,Portland,97230,2.0,3.0,1974.0,"Nestled in the premiere neighborhood of Sandstone. This lovingly updated & maintained home is the very definition of ""comfort"".Open floor plan with formal living & dining rooms.Cheerful family room with optional wood, gas or electric fireplace.Gourmet kitchen with gas cook island, eating bar, pantry & Corian countertops.Luxurious master suite with granite countertops, dual sinks, walk-in closet & jetted tub.Tankless H20, skylights, gas dryer, wood blinds, 50yr roof, custom patio. Come see!",2021-03-03 00:06:40,104.0,502183,502183,2021
18944 NE Couch St,Portland,97230,2.0,4.0,1609.0,"**OPEN HOUSE, Sat Jan 30, 11-2** 4BD/2BA! Gorgeous Master Suite with tile shower & floor, granite countertop, double sinks & double closets! STUNNING KITCHEN with new cabinetry with soft-close drawers, tile floor, quartz counters, glass tile backsplash & stainless farmhouse sink. Hardwood floors in living room, hallway, and all three main level bedrooms. Bonus/family room off main living room could be 5th bedroom. Big fenced backyard, covered patio and room for RV/boat parking. Don't miss it!",2021-03-03 00:06:40,104.0,419000,419000,2021
16431 NE Hoyt St,Portland,97230,2.0,3.0,1662.0,"Wonderful mid-century single level home. Features updated kitchen with quartz counter and mosaic backsplash. Stainless appliances with gas cooktop and wall oven. Updated laminate floors.  2 wood burning fireplaces.  Primary bedroom with bath and double closets. Vinyl windows and new garage door. Great outdoor living on this large corner lot. Covered patio, tool shed and fenced back yard. Open House this Saturday 1 to 3PM.",2021-03-01 23:06:40,105.0,437500,437500,2021
18829 NE Couch Ln,Portland,97230,1.0,2.0,777.0,"Great home. The 3 C'S: Cute, Cozy, and Clean. Completely remodeled inside! New Kitchen, and floors. New tile bathroom with LVT Flooring. Large 2br with oversized lot, fully fenced front and backyard. Single car Detached Garage in quiet neighborhood. Must See!!",2021-03-01 00:53:20,106.0,355000,355000,2021
16505 NE Hoyt St,Portland,97230,3.0,4.0,2980.0,"Lovely NE Split Level, 4 Bedroom, 3 full baths, Family Room plus Bonus Room. Great Neighborhood with long-standing neighbors, Corner Lot, 3-layered deck in fenced back yard - perfect for entertaining,  large double-car garage, 2 wood-burning fireplaces, New Roof & Gutters in 2020, Fresh interior paint and new laminate flooring, Multiple Ceiling Fans,  Updated Electrical Outlets, and much more! ""Turn-Key"" - and ready to move in and make yours! Must See to Fully Appreciate!",2021-02-26 00:40:00,109.0,435000,435000,2021
19113 SE Ash St,Portland,97233,3.0,2.0,1122.0,Fantastic newer updated home. Open Kitchen with Quartz counter tops. New AC/furnace in 2018. New flooring. New Water heater in 2019.Large Master Bath. New bathroom vanities. Newer Stainless appliances.Exterior paint and new fence in 2019. New raised garden boxes for all your flowers and veggies. Quiet corner lot. Great Investment/First time homebuyer.,2021-02-26 00:40:00,109.0,309000,309000,2021
19009 NE Flanders St,Portland,97230,1.0,3.0,912.0,"One level Ranch w/open floor plan & many updates-Hi-Eff gas water heater 2020, A/C 2017, HVAC 2014, hot tub w/electrical 2018, newer carpet in 2 bedrooms, luxury laminate plank flooring, remodeled bath & gas range 2018. Main backyard has patio, hot tub, firepit area w/pavers under beautiful pines. Half of 2 car garage was converted to insulated utility room w/exterior door & doggie door to 2nd fenced backyard. Shed full electrical. Garage workbench & cabinets. Offer deadline Sun 1/17 at 5:00pm",2021-02-26 00:40:00,109.0,340100,340100,2021
